date,time,weather,id,species,sex,origin,date_emerged,age,threshold,observer
20.06.2023,1005,over50,C1000,Cyrbia,F,reared,10.06.2023,10,0.42,MG
04.07.2023,1115,overcast,C1075,Cyrbia,F,reared,22.06.2023,12,0.36,MG
04.07.2023,955,overcast,C1076,Cyrbia,F,reared,22.06.2023,12,0.34,MG
06.06.2022,1046,sun,C267,Cyrbia,M,reared,31.03.2022,67,0.42,Anupama
27.05.2022,1529,sun,C279,Cyrbia,M,reared,03.04.2022,54,0.38,Anupama
26.05.2022,1204,rain,C348,Cyrbia,M,reared,24.04.2022,32,0.5,Anupama
14.06.2022,1502,sun,C350,Cyrbia,F,reared,24.04.2022,51,0.34,Anupama
31.05.2022,1456,overcast,C352,Cyrbia,M,reared,25.04.2022,36,1,Anupama
18.05.2022,1504,rain,C355,Cyrbia,M,reared,24.04.2022,24,0.42,Anupama
06.06.2022,1345,sun,C356,Cyrbia,M,reared,25.04.2022,42,0.46,Anupama
18.05.2022,1608,rain,C361,Cyrbia,M,reared,01.05.2022,17,0.38,Anupama
14.06.2022,1502,sun,C362,Cyrbia,F,reared,01.05.2022,44,0.42,Anupama
18.05.2022,1634,rain,C363,Cyrbia,F,reared,03.05.2022,15,0.38,Anupama
19.05.2022,1337,overcast,C366,Cyrbia,M,reared,07.05.2022,12,0.5,Anupama
24.05.2022,1136,overcast,C375,Cyrbia,F,reared,13.05.2022,11,0.9,Anupama
24.05.2022,1045,overcast,C377,Cyrbia,M,reared,14.05.2022,10,0.6,Anupama
26.05.2022,1347,rain,C379,Cyrbia,F,reared,15.05.2022,11,0.44,Anupama
31.05.2022,1504,overcast,C382,Cyrbia,F,reared,19.05.2022,12,0.36,Anupama
02.06.2022,1301,sun,C385,Cyrbia,M,reared,23.05.2022,10,0.75,Anupama
02.06.2022,1103,sun,C386,Cyrbia,M,reared,23.05.2022,10,0.4,Anupama
06.06.2022,1500,sun,C389,Cyrbia,F,reared,23.05.2022,14,0.44,Anupama
06.06.2022,1536,sun,C390,Cyrbia,M,reared,24.05.2022,13,0.75,Anupama
06.06.2022,1105,sun,C393,Cyrbia,M,reared,25.05.2022,12,1,Anupama
27.06.2022,1100,sun,C401,Cyrbia,M,reared,05.06.2022,22,0.46,Anupama
20.06.2022,1507,sun,C407,Cyrbia,F,reared,09.06.2022,11,0.44,Anupama
20.06.2022,1449,sun,C413,Cyrbia,M,reared,10.06.2022,10,0.44,Anupama
07.07.2022,1255,sun,C418,Cyrbia,F,reared,12.06.2022,25,0.32,Anupama
04.07.2022,1407,overcast,C419,Cyrbia,M,reared,13.06.2022,21,0.44,Anupama
27.06.2022,1126,sun,C420,Cyrbia,M,reared,13.06.2022,14,0.55,Anupama
02.07.2022,1228,overcast,C421,Cyrbia,M,reared,14.06.2022,18,1,Anupama
07.07.2022,1309,sun,C427,Cyrbia,F,reared,17.06.2022,20,0.42,Anupama
02.07.2022,1103,overcast,C451,Cyrbia,F,reared,22.06.2022,10,0.46,Anupama
04.07.2022,1304,overcast,C453,Cyrbia,F,reared,23.06.2022,11,0.5,Anupama
05.07.2022,1236,overcast,C457,Cyrbia,F,reared,25.06.2022,10,0.42,Anupama
14.02.2023,1048,over50,C895,Cyrbia,M,reared,03.02.2023,11,0.32,MG
23.02.2023,1130,over50,C899,Cyrbia,F,reared,07.02.2023,16,0.46,MG
17.02.2023,1031,over50,C902,Cyrbia,M,reared,07.02.2023,10,1,MG
22.02.2023,1035,overcast,C907,Cyrbia,M,reared,10.02.2023,12,0.3,MG
08.03.2023,1222,sun,C913,Cyrbia,M,reared,24.02.2023,12,0.44,PC
21.03.2023,1150,rain,C916,Cyrbia,M,reared,08.03.2023,13,0.5,MG
21.03.2023,1107,rain,C917,Cyrbia,M,reared,11.03.2023,10,0.38,MG
23.03.2023,1050,overcast,C920,Cyrbia,F,reared,12.03.2023,11,0.34,MG
23.03.2023,1030,overcast,C921,Cyrbia,M,reared,13.03.2023,10,0.34,MG
24.03.2023,1155,overcast,C924,Cyrbia,F,reared,14.03.2023,10,0.46,MG
06.04.2023,1205,overcast,C938,Cyrbia,M,reared,26.03.2023,11,0.5,MG
05.05.2023,1150,overcast,C953,Cyrbia,F,reared,25.04.2023,10,0.34,MG
24.05.2023,1016,overcast,C980,Cyrbia,F,reared,02.05.2023,22,0.4,MG
18.05.2023,1224,rain,C983,Cyrbia,F,reared,04.05.2023,14,0.44,PC
20.06.2023,1245,over50,C993,Cyrbia,F,reared,07.06.2023,13,0.42,MG